a,origin,destination,requirement_status,requirement
381,Albania,Turkmenistan,0,visa_required
382,Albania,Tuvalu,1,visa_on_arrival
383,Albania,Turkey,2,visa_free
384,Albania,Uganda,1,visa_on_arrival
385,Albania,Ukraine,2,visa_free
386,Albania,United Arab Emirates,2,visa_free
387,Albania,United Kingdom,0,visa_required
388,Albania,USA,0,visa_required
389,Albania,Uruguay,0,visa_required
390,Albania,Uzbekistan,1,visa_on_arrival
391,Albania,Vanuatu,0,visa_required
392,Albania,Vatican City,2,visa_free
393,Albania,Venezuela,0,visa_required
394,Albania,Vietnam,0,visa_required
395,Albania,Yemen,0,visa_required
396,Albania,Zambia,1,visa_on_arrival
397,Albania,Zimbabwe,1,visa_on_arrival
398,Albania,Albania,4,
399,Algeria,Afghanistan,0,visa_required
400,Algeria,Albania,0,visa_required
401,Algeria,Andorra,0,visa_required
402,Algeria,Angola,1,visa_on_arrival
403,Algeria,Antigua and Barbuda,0,visa_required
404,Algeria,Argentina,0,visa_required
405,Algeria,Armenia,1,visa_on_arrival
406,Algeria,Australia,0,visa_required
407,Algeria,Austria,0,visa_required
408,Algeria,Azerbaijan,1,visa_on_arrival
409,Algeria,Bahamas,0,visa_required
410,Algeria,Bahrain,0,visa_required
411,Algeria,Bangladesh,0,visa_required
412,Algeria,Barbados,2,visa_free
413,Algeria,Belarus,0,visa_required
414,Algeria,Belgium,0,visa_required
415,Algeria,Belize,0,visa_required
416,Algeria,Benin,2,visa_free
417,Algeria,Bhutan,0,visa_required
418,Algeria,Bolivia,1,visa_on_arrival
419,Algeria,Bosnia and Herzegovina,0,visa_required
420,Algeria,Botswana,0,visa_required
421,Algeria,Brazil,0,visa_required
422,Algeria,Brunei,0,visa_required
423,Algeria,Bulgaria,0,visa_required
424,Algeria,Burkina Faso,0,visa_required
425,Algeria,Burundi,1,visa_on_arrival
426,Algeria,Cambodia,1,visa_on_arrival
427,Algeria,Cameroon,0,visa_required
428,Algeria,Canada,0,visa_required
429,Algeria,Cape Verde,1,visa_on_arrival
430,Algeria,Central African Republic,0,visa_required
431,Algeria,Chad,0,visa_required
432,Algeria,Chile,0,visa_required
433,Algeria,China,0,visa_required
434,Algeria,Colombia,0,visa_required
435,Algeria,Comoros,1,visa_on_arrival
436,Algeria,Congo [Republic],0,visa_required
437,Algeria,Congo [DRC],1,visa_on_arrival
438,Algeria,Costa Rica,0,visa_required
439,Algeria,Côte d'Ivoire,3,eta
440,Algeria,Croatia,0,visa_required
441,Algeria,Cuba,1,visa_on_arrival
442,Algeria,Cyprus,0,visa_required
443,Algeria,Czech Republic,0,visa_required
444,Algeria,Denmark,0,visa_required
445,Algeria,Djibouti,1,visa_on_arrival
446,Algeria,Dominica,2,visa_free
447,Algeria,Dominican Republic,0,visa_required
448,Algeria,Ecuador,2,visa_free
449,Algeria,Egypt,0,visa_required
450,Algeria,El Salvador,0,visa_required
451,Algeria,Equatorial Guinea,0,visa_required
452,Algeria,Eritrea,0,visa_required
453,Algeria,Estonia,0,visa_required
454,Algeria,Eswatini,0,visa_required
455,Algeria,Ethiopia,1,visa_on_arrival
456,Algeria,Fiji,0,visa_required
